,지역,지역구,카페명,주소,위도,경도,파일명
56,서남,양천,카페 제하,서울 양천구 목동동로 177,37.521582200000005,126.8704402,sw_yc_05.png
57,서남,양천,이기스카페 목동점,서울 양천구 목동동로 293,37.5281527,126.8757457,sw_yc_06.png
58,서남,양천,르플로르,서울 양천구 목동동로 222-13,37.525279,126.8727908,sw_yc_07.png
59,서남,양천,엘가커피 목동점,서울 양천구 신정중앙로 107,37.526399100000006,126.86367690000002,sw_yc_08.png
60,서남,양천,알리커피,서울 양천구 중앙로32길 45,37.519602,126.85875729999998,sw_yc_09.png
61,서남,양천,테디랩,서울 양천구 신월로36길 11,37.520665,126.85855330000001,sw_yc_10.png
62,서남,양천,퍼블릭맨션,서울 양천구 등촌로 154,37.543499100000005,126.8625778,sw_yc_11.png
63,서남,양천,카페쿤츠,서울 양천구 오목로 170,37.524805799999996,126.85618240000001,sw_yc_12.png
64,서남,양천,커피그레이드,서울 양천구 중앙로51길 71,37.5234824,126.84261240000001,sw_yc_13.png
65,서남,영등포,세상의모든아침,서울 영등포구 여의대로 24,37.522317,126.92011529999999,sw_ydp_01.png
66,서남,영등포,오월의종 타임스퀘어점,서울 영등포구 영중로 15,37.517007,126.9041419,sw_ydp_02.png
67,서남,영등포,올드문래,서울 영등포구 도림로 433-6,37.5138911,126.8942605,sw_ydp_03.png
68,서남,영등포,선유기지,서울 영등포구 선유로51길 1,37.536435,126.89763559999999,sw_ydp_04.png
69,서남,영등포,폴앤폴리나 여의도점,서울 영등포구 의사당대로 108,37.5199076,126.92453870000001,sw_ydp_05.png
70,서남,영등포,카페 진정성,서울 영등포구 국제금융로8길 31,37.51985620000001,126.9279038,sw_ydp_06.png
71,서남,영등포,마호가니커피 타임스퀘어점,서울 영등포구 영중로 15,37.517007,126.9041419,sw_ydp_07.png
72,서남,영등포,타르타르 여의도점,서울 영등포구 의사당대로1길 11,37.519169299999994,126.9285663,sw_ydp_08.png
73,서남,영등포,빌리엔젤 당산역점,서울 영등포구 당산로 223,37.533770600000004,126.9012083,sw_ydp_09.png
74,서남,영등포,시즌커피앤베이크,서울 영등포구 양산로9길 12-1,37.5263223,126.8888412,sw_ydp_10.png
75,서남,영등포,카페 엘디아,서울 영등포구 양평로22길 18,37.537671200000005,126.8973605,sw_ydp_11.png
76,서남,영등포,테라로사 여의도점,서울 영등포구 여의대로 56,37.5240065,126.9228655,sw_ydp_12.png
77,서남,영등포,보사노바 커피 로스터스 문래점,서울 영등포구 영등포로20길 22-4,37.5199186,126.89200179999999,sw_ydp_13.png
78,서남,구로,메이비,서울 구로구 디지털로32나길 51,37.484862400000004,126.90054440000002,sw_gr_01.png
79,서남,구로,카페큐브,서울 구로구 경인로 662,37.5084321,126.88873319999999,sw_gr_02.png
80,서남,구로,빈브라더스 현대백화점 디큐브시티점,서울 구로구 경인로 662,37.5084321,126.88873319999999,sw_gr_03.png
81,서남,구로,이름없는 가게,서울 구로구 개봉로1나길 52,37.485394,126.8524179,sw_gr_04.png
82,서남,구로,고마워케이크,서울 구로구 디지털로 300,37.483379299999996,126.8941131,sw_gr_05.png
83,서남,구로,LonelyAve,서울 구로구 경인로65길 44,37.509554,126.88520790000001,sw_gr_06.png
84,서남,구로,Cafe126,서울 구로구 고척로30길 6,37.5019532,126.84851940000001,sw_gr_07.png
85,서남,구로,카페노아,서울 구로구 서해안로30길 12,37.493176,126.8438922,sw_gr_08.png
86,서남,구로,테일팟,서울 구로구 공원로6나길 29-17,37.5047919,126.8908445,sw_gr_09.png
87,서남,구로,데일리스위츠,서울 구로구 중앙로9,37.5051273,126.86029189999999,sw_gr_10.png
88,서남,구로,하이드아웃,서울 구로구 개봉로20길 30,37.4933424,126.8564453,sw_gr_11.png
89,서남,구로,써드포지션,서울 구로구 개봉로24길 42,37.4958436,126.85774040000001,sw_gr_12.png
90,서남,구로,카페 이졸레,서울 구로구 도림천로 336,37.4949733,126.8937332,sw_gr_13.png
91,도심,종로,레이어드,서울 종로구 북촌로2길 2-3,37.5776998,126.9859145,cs_jr_01.png
