,지역명(한글),지역명(영문)
0,강남구,gn_gn
1,강동구,se_gd
2,강북구,gb_gb
3,강서구,sw_gs
4,관악구,ss_ga
5,광진구,es_gj
6,구로구,sw_gr
7,금천구,ss_gc
8,노원구,gb_nw
9,도봉구,gb_db
10,동대문구,es_ddm
11,동작구,ss_dj
12,마포구,ws_mp
13,서대문구,ws_sdm
14,서초구,gn_sc
15,성동구,es_sd
16,성북구,gb_sb
17,송파구,se_sp
18,양천구,sw_yc
19,영등포구,sw_ydp
20,용산구,cs_ys
21,은평구,ws_ep
22,종로구,cs_jr
23,중구,cs_jg
24,중랑구,es_gl
