상호명,편의점,지역,시군구코드,경도,위도
CU,CU,서울특별시 동작구,11590,126.923926,37.49824946
CU,CU,부산광역시 강서구,26440,128.909515,35.08665518
CU,CU,부산광역시 사하구,26380,128.9760864,35.06131271
CU,CU,부산광역시 해운대구,26350,129.17275279999998,35.17407383
CU,CU,서울특별시 강서구,11500,126.85360700000001,37.53512526
CU,CU,부산광역시 해운대구,26350,129.13603909999998,35.16907853
CU,CU,부산광역시 북구,26320,129.0111688,35.24677631
CU,CU,서울특별시 성북구,11290,127.0197996,37.58948601
CU,CU,부산광역시 사상구,26530,128.9877859,35.15238625
CU,CU,서울특별시 성동구,11200,127.0529135,37.56404955
CU,CU,서울특별시 서초구,11650,127.0181,37.51279282
CU,CU,부산광역시 기장군,26710,129.2159423,35.24791167
CU,CU,서울특별시 강동구,11740,127.1433645,37.53353696
CU,CU,서울특별시 강서구,11500,126.8354489,37.54009249
CU,CU,부산광역시 부산진구,26230,129.0595744,35.1447759
CU,CU,서울특별시 영등포구,11560,126.89531310000001,37.53665809
CU,CU,서울특별시 강남구,11680,127.02570190000002,37.50405248
CU,CU,서울특별시 광진구,11215,127.07427720000001,37.55273062
CU,CU,서울특별시 서초구,11650,126.98637009999999,37.49531471
CU,CU,서울특별시 용산구,11170,126.9682257,37.54086779
CU,CU,서울특별시 동작구,11590,126.9716285,37.48339252
CU,CU,서울특별시 강남구,11680,127.0241018,37.5062018
CU,CU,서울특별시 금천구,11545,126.90290139999999,37.44106465
CU,CU,부산광역시 중구,26110,129.0313964,35.09718171
CU,CU,부산광역시 부산진구,26230,129.0373447,35.16842253
CU,CU,부산광역시 부산진구,26230,129.0562462,35.14878912
CU,CU,서울특별시 성북구,11290,127.027369,37.60384814
CU,CU,서울특별시 강남구,11680,127.02330740000001,37.52376576
CU,CU,부산광역시 금정구,26410,129.0963835,35.21687474
CU,CU,서울특별시 강남구,11680,127.05308459999999,37.49772448
CU,CU,서울특별시 광진구,11215,127.0854423,37.54483431
씨유플러스,CU,서울특별시 영등포구,11560,126.9076467,37.52500523
CU,CU,서울특별시 구로구,11530,126.8821719,37.50511513
CU,CU,부산광역시 해운대구,26350,129.1260153,35.21114942
CU,CU,서울특별시 종로구,11110,126.9581044,37.57455895
CU,CU,서울특별시 서초구,11650,127.03076750000001,37.49015483
CU,CU,서울특별시 송파구,11710,127.0866117,37.50554835
CU,CU,부산광역시 사하구,26380,128.9841817,35.09913359
CU,CU,서울특별시 서초구,11650,126.99203829999999,37.48419014
CU,CU,서울특별시 송파구,11710,127.09928899999998,37.51981032
CU국립중앙의료원점,CU,서울특별시 중구,11140,127.0054711,37.56771412
CU,CU,서울특별시 동대문구,11230,127.07381699999999,37.56797276
CU,CU,서울특별시 강동구,11740,127.1319822,37.52374946
CU,CU,서울특별시 서대문구,11410,126.94638470000001,37.59804406
CU,CU,서울특별시 양천구,11470,126.83480459999998,37.53713975
cu서울과학기술대점,CU,서울특별시 노원구,11350,127.07783559999999,37.63586177
CU,CU,서울특별시 서초구,11650,127.0135024,37.48997588
CU,CU,서울특별시 광진구,11215,127.1050983,37.54772411
CU,CU,서울특별시 은평구,11380,126.9070027,37.61712113
CU,CU,부산광역시 강서구,26440,128.8807665,35.11164735
CU,CU,서울특별시 용산구,11170,126.99585890000002,37.52228311
CU,CU,부산광역시 기장군,26710,129.20275700000002,35.32446964
CU,CU,서울특별시 동작구,11590,126.979276,37.49224411
CU,CU,부산광역시 금정구,26410,129.0898901,35.22904791
CU마들역점,CU,서울특별시 노원구,11350,127.0562209,37.66693871
CU,CU,부산광역시 부산진구,26230,129.0577113,35.15090363
CU,CU,부산광역시 연제구,26470,129.0760543,35.18286762
CU,CU,서울특별시 종로구,11110,126.9936828,37.58991498
CU,CU,부산광역시 연제구,26470,129.0794085,35.18661458
CU,CU,부산광역시 동래구,26260,129.0986784,35.20378391
CU,CU,부산광역시 동래구,26260,129.0690624,35.20396789
CU,CU,서울특별시 동대문구,11230,127.03658940000001,37.57648704
CU,CU,부산광역시 사하구,26380,128.9823257,35.0614246
CU,CU,서울특별시 강동구,11740,127.1461748,37.53117852
CU,CU,서울특별시 양천구,11470,126.86869709999999,37.54735369
CU,CU,서울특별시 성북구,11290,127.03195320000002,37.58655882
CU,CU,서울특별시 강남구,11680,127.05822420000001,37.49730603
CU,CU,서울특별시 서초구,11650,127.0214494,37.46328956
CU,CU,서울특별시 마포구,11440,126.89026329999999,37.573517200000005
CU,CU,부산광역시 금정구,26410,129.1038121,35.21795198
CU,CU,서울특별시 용산구,11170,126.9633398,37.53496821
CU,CU,서울특별시 광진구,11215,127.08900459999998,37.55898132
CU,CU,부산광역시 동래구,26260,129.0626244,35.20714335
CU,CU,서울특별시 서초구,11650,126.98913049999999,37.49020236
CU,CU,부산광역시 동래구,26260,129.1024005,35.20859951
CU이대목동병원점,CU,서울특별시 양천구,11470,126.8867317,37.53697396
CU,CU,부산광역시 남구,26290,129.0880666,35.13514893
CU,CU,서울특별시 송파구,11710,127.08701979999998,37.51197604
CU관악서원점,CU,서울특별시 관악구,11620,126.9318071,37.47929082
CU건대원룸촌점,CU,서울특별시 광진구,11215,127.07866200000001,37.53854632
CU화곡우리마을점,CU,서울특별시 강서구,11500,126.84133670000001,37.52887846
CU,CU,서울특별시 강남구,11680,127.03300049999999,37.49412876
CU,CU,부산광역시 사하구,26380,128.969855,35.10355777
CU,CU,서울특별시 강서구,11500,126.8752348,37.54983093
CU,CU,부산광역시 사상구,26530,128.969215,35.12453863
CU,CU,서울특별시 강북구,11305,127.0235228,37.64334484
CU,CU,서울특별시 성북구,11290,127.0666981,37.60958098
CU,CU,서울특별시 금천구,11545,126.8863971,37.48107009
CU,CU,부산광역시 부산진구,26230,129.03413799999998,35.14750153
CU,CU,부산광역시 기장군,26710,129.22823290000002,35.22501011
CU편의점,CU,서울특별시 강서구,11500,126.86321550000001,37.55211257
CU,CU,부산광역시 금정구,26410,129.0893705,35.22962947
