소재지(시군구)별(1),소재지(시군구)별(2),2017,2017,2017.000,
소재지(시군구)별(1),소재지(시군구)별(2),전체인구(A) (명),지역면적 ,인구밀도,
소재지(시군구)별(1),소재지(시군구)별(2),소계,소계,소계,
강원도,고성군,30029,6608,4.544,
강원도,양양군,27207,6300,4.319,
충청북도,소계,1594432,74076,21.524,
충청북도,청주시,835590,9408,88.817,
충청북도,충주시,208316,9835,21.181,
충청북도,제천시,136432,8833,15.446,
충청북도,보은군,34053,5842,5.829,
충청북도,옥천군,51766,5371,9.638,
충청북도,영동군,50240,8459,5.939,
충청북도,진천군,73677,4072,18.094,
충청북도,괴산군,39054,8421,4.638,
충청북도,음성군,97306,5202,18.705,
충청북도,단양군,30215,7811,3.868,
충청북도,증평군,37783,818,46.189,
충청남도,소계,2116770,82263,25.732,
충청남도,천안시,631531,6360,99.297,
충청남도,공주시,108432,8642,12.547,
충청남도,보령시,103198,5738,17.985,
충청남도,아산시,311453,5426,57.400,
충청남도,서산시,171678,7413,23.159,
충청남도,논산시,122240,5551,22.021,
충청남도,계룡시,43967,607,72.433,
충청남도,당진시,167439,7044,23.770,
충청남도,금산군,53894,5772,9.337,
충청남도,부여군,69086,6245,11.063,
충청남도,서천군,55175,3657,15.088,
충청남도,청양군,32837,4791,6.854,
충청남도,홍성군,101570,4428,22.938,
충청남도,예산군,80338,5426,14.806,
충청남도,태안군,63932,5158,12.395,
전라북도,소계,1854607,80689,22.985,
전라북도,전주시,648964,2054,315.951,
전라북도,군산시,274997,3964,69.374,
전라북도,익산시,300187,5065,59.267,
전라북도,정읍시,113776,6929,16.420,
전라북도,남원시,83281,7522,11.072,
전라북도,김제시,86926,5458,15.926,
전라북도,완주군,95975,8210,11.690,
전라북도,진안군,26271,7890,3.330,
전라북도,무주군,24809,6318,3.927,
전라북도,장수군,23003,5332,4.314,
전라북도,임실군,30162,5973,5.050,
전라북도,순창군,29698,4959,5.989,
전라북도,고창군,60472,6077,9.951,
전라북도,부안군,56086,4932,11.372,
전라남도,소계,1896424,123351,15.374,
전라남도,목포시,234379,516,454.223,
전라남도,여수시,286382,5105,56.098,
전라남도,순천시,279331,9109,30.665,
전라남도,나주시,110110,6084,18.098,
전라남도,광양시,155857,4631,33.655,
전라남도,담양군,47285,4550,10.392,
전라남도,곡성군,30131,5474,5.504,
전라남도,구례군,27525,4432,6.211,
전라남도,고흥군,66736,8073,8.267,
전라남도,보성군,43755,6639,6.591,
전라남도,화순군,64680,7869,8.220,
전라남도,장흥군,40136,6223,6.450,
전라남도,강진군,36868,5009,7.360,
전라남도,해남군,73604,10313,7.137,
전라남도,영암군,55616,6041,9.206,
전라남도,무안군,82872,4497,18.428,
전라남도,함평군,34328,3921,8.755,
전라남도,영광군,54774,4749,11.534,
전라남도,장성군,46111,5183,8.897,
전라남도,완도군,52109,3964,13.146,
전라남도,진도군,31765,4401,7.218,
전라남도,신안군,42070,6559,6.414,
경상북도,소계,2691706,190325,14.143,
경상북도,포항시,513832,11300,45.472,
경상북도,경주시,257903,13249,19.466,
경상북도,김천시,142908,10098,14.152,
경상북도,안동시,166272,15219,10.925,
경상북도,구미시,421799,6152,68.563,
경상북도,영주시,108371,6699,16.177,
경상북도,영천시,100615,9192,10.946,
경상북도,상주시,100947,12546,8.046,
경상북도,문경시,73294,9118,8.038,
경상북도,경산시,259485,4117,63.028,
경상북도,군위군,24215,6142,3.943,
경상북도,의성군,53474,11751,4.551,
경상북도,청송군,26006,8460,3.074,
경상북도,영양군,17479,8156,2.143,
경상북도,영덕군,38529,7412,5.198,
경상북도,청도군,43346,6937,6.249,
경상북도,고령군,33768,3840,8.794,
경상북도,성주군,45138,6160,7.328,
경상북도,칠곡군,120864,4509,26.805,
경상북도,예천군,49253,6614,7.447,
경상북도,봉화군,33259,12017,2.768,
경상북도,울진군,50974,9898,5.150,
경상북도,울릉군,9975,728,13.702,
경상남도,소계,3380404,105397,32.073,
경상남도,창원시,1057032,7478,141.352,
경상남도,진주시,346681,7129,48.630,
경상남도,통영시,135833,2398,56.644,
경상남도,사천시,114252,3986,28.663,
경상남도,김해시,532132,4633,114.857,
경상남도,밀양시,107898,7986,13.511,
경상남도,거제시,254073,4027,63.092,
경상남도,양산시,338535,4854,69.744,
경상남도,의령군,27849,4828,5.768,
경상남도,함안군,68207,4165,16.376,
경상남도,창녕군,64101,5328,12.031,
경상남도,고성군,54060,5179,10.438,
경상남도,남해군,44642,3575,12.487,
경상남도,하동군,48831,6756,7.228,
경상남도,산청군,36340,7948,4.572,
경상남도,함양군,40175,7254,5.538,
경상남도,거창군,62763,8032,7.814,
경상남도,합천군,47000,9834,4.779,
제주특별자치도,소계,657083,18501,35.516,
제주특별자치도,제주시,478700,9786,48.917,
제주특별자치도,서귀포시,178383,8714,20.471,
