상호명,편의점,지역,시군구코드,경도,위도
미니스톱신촌원룸점,MINISTOP,서울특별시 서대문구,11410,126.93403070000001,37.55987335
미니스톱,MINISTOP,부산광역시 동래구,26260,129.0864431,35.19625959
미니스톱,MINISTOP,부산광역시 해운대구,26350,129.1518516,35.23089884
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.9167868,37.51177198
미니스톱,MINISTOP,부산광역시 영도구,26200,129.04008729999998,35.093213399999996
미니스톱마곡엠밸리2점,MINISTOP,서울특별시 강서구,11500,126.82391489999999,37.56408077
미니스톱신설점,MINISTOP,서울특별시 동대문구,11230,127.0249247,37.57505772
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.93284579999998,37.52707375
미니스톱,MINISTOP,서울특별시 강남구,11680,127.0410297,37.51623402
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.0621825,35.15800354
미니스톱,MINISTOP,부산광역시 사하구,26380,128.9638716,35.11054634
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.90694450000001,37.51885362
미니스톱노량진학원점,MINISTOP,서울특별시 동작구,11590,126.94555520000002,37.51310456
미니스톱성수역점,MINISTOP,서울특별시 성동구,11200,127.0571136,37.54513411
미니스톱,MINISTOP,서울특별시 강남구,11680,127.02897639999999,37.5262994
미니스톱도봉법원점,MINISTOP,서울특별시 도봉구,11320,127.0476692,37.67622267
미니스톱,MINISTOP,부산광역시 해운대구,26350,129.1382606,35.16464991
미니스톱,MINISTOP,서울특별시 동작구,11590,126.9233568,37.49142334
미니스톱부산외대트리니티,MINISTOP,부산광역시 금정구,26410,129.0805272,35.26689054
미니스톱,MINISTOP,부산광역시 사상구,26530,128.9804702,35.1619284
미니스톱,MINISTOP,서울특별시 성동구,11200,127.02474640000001,37.55225981
미니스톱,MINISTOP,서울특별시 성북구,11290,127.02998459999999,37.58644354
미니스톱,MINISTOP,서울특별시 강남구,11680,127.04029560000001,37.50111737
미니스톱,MINISTOP,서울특별시 은평구,11380,126.9337534,37.60472441
미니스톱부산사직점,MINISTOP,부산광역시 동래구,26260,129.0651789,35.20175767
미니스톱,MINISTOP,부산광역시 중구,26110,129.0249547,35.10214898
미니스톱,MINISTOP,부산광역시 금정구,26410,129.0852562,35.23249676
미니스톱,MINISTOP,서울특별시 용산구,11170,126.9811415,37.51890428
미니스톱,MINISTOP,서울특별시 은평구,11380,126.92178600000001,37.61703188
미니스톱,MINISTOP,서울특별시 강남구,11680,127.0461277,37.48629717
한국미니스톱고대경영관점,MINISTOP,서울특별시 성북구,11290,127.0317018,37.58848499
미니스톱,MINISTOP,서울특별시 용산구,11170,126.9685947,37.52476031
미니스톱,MINISTOP,서울특별시 강남구,11680,127.07557340000001,37.49264943
미니스톱,MINISTOP,부산광역시 사하구,26380,128.95799309999998,35.09752249
미니스톱,MINISTOP,서울특별시 강동구,11740,127.14267720000001,37.53130636
미니스톱,MINISTOP,부산광역시 사상구,26530,128.9805755,35.16978774
미니스톱,MINISTOP,서울특별시 강남구,11680,127.02139840000002,37.51747864
미니스톱,MINISTOP,서울특별시 노원구,11350,127.06733059999999,37.65051113
24시미니스톱,MINISTOP,서울특별시 강남구,11680,127.03796640000002,37.52486822
미니스톱,MINISTOP,서울특별시 동작구,11590,126.92963030000001,37.51298835
미니스톱상봉건영점,MINISTOP,서울특별시 중랑구,11260,127.09363799999998,37.60346564
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.06367120000002,35.1517889
미니스톱,MINISTOP,서울특별시 마포구,11440,126.9276784,37.54583169
미니스톱,MINISTOP,부산광역시 남구,26290,129.08523200000002,35.12412326
미니스톱서울대입구점,MINISTOP,서울특별시 관악구,11620,126.95312879999999,37.48025657
미니스톱,MINISTOP,서울특별시 강남구,11680,127.1053854,37.47439815
미니스톱,MINISTOP,부산광역시 강서구,26440,128.878029,35.08858192
미니스톱자양점,MINISTOP,서울특별시 광진구,11215,127.0810009,37.53144623
미니스톱,MINISTOP,서울특별시 서초구,11650,127.0001806,37.48070916
미니스톱목동13단지점,MINISTOP,서울특별시 양천구,11470,126.8651139,37.51497204
미니스톱,MINISTOP,부산광역시 남구,26290,129.1097957,35.12243156
미니스톱,MINISTOP,서울특별시 중랑구,11260,127.0751514,37.5909599
미니스톱,MINISTOP,부산광역시 금정구,26410,129.0844344,35.23182809
미니스톱공릉풍림점,MINISTOP,서울특별시 노원구,11350,127.06568030000001,37.63026981
미니스톱,MINISTOP,서울특별시 서초구,11650,127.0128918,37.48653775
한국미니스톱M,MINISTOP,서울특별시 종로구,11110,126.9797604,37.57544191
미니스톱,MINISTOP,서울특별시 중구,11140,126.9875034,37.5612631
미니스톱,MINISTOP,서울특별시 송파구,11710,127.1170135,37.53441513
미니스톱,MINISTOP,부산광역시 수영구,26500,129.11414240000002,35.14675625
미니스톱,MINISTOP,서울특별시 송파구,11710,127.0892334,37.50294651
미니스톱,MINISTOP,서울특별시 강남구,11680,127.051309,37.51738928
미니스톱,MINISTOP,서울특별시 강북구,11305,127.01110940000001,37.64291707
미니스톱독산진도점,MINISTOP,서울특별시 금천구,11545,126.8921463,37.46997818
미니스톱성수2가점,MINISTOP,서울특별시 성동구,11200,127.0561229,37.54921696
미니스톱서교점,MINISTOP,서울특별시 마포구,11440,126.90887759999998,37.55776941
미니스톱수락은빛점,MINISTOP,서울특별시 노원구,11350,127.0549331,37.67911034
미니스톱서교3점,MINISTOP,서울특별시 마포구,11440,126.92044809999999,37.55362287
미니스톱독산본점,MINISTOP,서울특별시 금천구,11545,126.8978574,37.46444508
미니스톱역삼디오빌점,MINISTOP,서울특별시 강남구,11680,127.04266640000002,37.50145198
미니스톱압구정성당점,MINISTOP,서울특별시 강남구,11680,127.0266344,37.52543314
미니스톱,MINISTOP,부산광역시 동래구,26260,129.10191559999998,35.2044125
미니스톱이수세양점,MINISTOP,서울특별시 서초구,11650,126.9836481,37.48504634
미니스톱구로대륭점,MINISTOP,서울특별시 구로구,11530,126.89820449999999,37.48546077
미니스톱방이센타점,MINISTOP,서울특별시 송파구,11710,127.1116794,37.51574128
미니스톱구로빌란트점,MINISTOP,서울특별시 구로구,11530,126.89632340000001,37.48266799
미니스톱,MINISTOP,서울특별시 강남구,11680,127.0410875,37.52409167
한국미니스톱신림신사점,MINISTOP,서울특별시 관악구,11620,126.91495320000001,37.48684121
미니스톱,MINISTOP,서울특별시 서초구,11650,126.99976200000002,37.48073265
미니스톱원효로점,MINISTOP,서울특별시 용산구,11170,126.96211470000001,37.53601167
미니스톱강남해커스점,MINISTOP,서울특별시 서초구,11650,127.0246993,37.49852074
미니스톱,MINISTOP,서울특별시 구로구,11530,126.8387865,37.48755878
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.05122859999997,35.18103047
미니스톱초량육거리,MINISTOP,부산광역시 동구,26170,129.0388159,35.12007706
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.9268166,37.52464035
미니스톱신내점,MINISTOP,서울특별시 중랑구,11260,127.09679109999999,37.60776076
미니스톱장안벤처빌,MINISTOP,서울특별시 동대문구,11230,127.0687808,37.56878913
미니스톱뉴스타점,MINISTOP,서울특별시 송파구,11710,127.098602,37.50545123
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.887928,37.52574926
미니스톱,MINISTOP,서울특별시 중랑구,11260,127.0818158,37.59967096
미니스톱부산중앙,MINISTOP,부산광역시 중구,26110,129.0371172,35.10636327
한국미니스톱청계센터점,MINISTOP,서울특별시 종로구,11110,126.9842973,37.56897552
미니스톱암사그랜드,MINISTOP,서울특별시 강동구,11740,127.131992,37.55121372
미니스톱,MINISTOP,서울특별시 은평구,11380,126.91781920000001,37.63828685
미니스톱구로지플러스점,MINISTOP,서울특별시 구로구,11530,126.89768559999999,37.48306816
미니스톱,MINISTOP,서울특별시 중구,11140,127.0101866,37.55353527
한국미니스톱M도곡역점,MINISTOP,서울특별시 강남구,11680,127.0553085,37.49085821
미니스톱온천석사점,MINISTOP,부산광역시 동래구,26260,129.06640819999998,35.20591125
미니스톱방배홀타운,MINISTOP,서울특별시 서초구,11650,126.9840422,37.49101471
미니스톱방이올림픽점,MINISTOP,서울특별시 송파구,11710,127.1135626,37.51527786
미니스톱부산남산역점,MINISTOP,부산광역시 금정구,26410,129.0921733,35.26660569
미니스톱도곡센트레빌,MINISTOP,서울특별시 강남구,11680,127.0570815,37.49195364
미니스톱,MINISTOP,부산광역시 사상구,26530,129.0128866,35.14977229
미니스톱동작대로점,MINISTOP,서울특별시 서초구,11650,126.98217209999999,37.47966335
미니스톱,MINISTOP,서울특별시 종로구,11110,127.01552050000001,37.57823243
미니스톱,MINISTOP,서울특별시 구로구,11530,126.84362970000001,37.49539129
미니스톱남산점,MINISTOP,서울특별시 중구,11140,126.9858629,37.55869907
미니스톱,MINISTOP,서울특별시 강남구,11680,127.0280225,37.49865626
미니스톱,MINISTOP,서울특별시 서초구,11650,126.98706740000002,37.47717346
미니스톱대청역점,MINISTOP,서울특별시 강남구,11680,127.0796352,37.49433008
미니스톱유탑유블레스점,MINISTOP,서울특별시 강남구,11680,127.10334740000002,37.47370691
미니스톱,MINISTOP,서울특별시 용산구,11170,126.9707078,37.53069863
미니스톱,MINISTOP,서울특별시 강동구,11740,127.13639930000001,37.53018836
미니스톱화곡사거리점,MINISTOP,서울특별시 강서구,11500,126.84716100000001,37.55107389
미니스톱,MINISTOP,서울특별시 중랑구,11260,127.1005212,37.59709385
미니스톱역삼상록점,MINISTOP,서울특별시 강남구,11680,127.04341529999999,37.50480997
미니스톱구로스타점,MINISTOP,서울특별시 구로구,11530,126.8810681,37.50329358
부산미니스톱,MINISTOP,부산광역시 서구,26140,129.02515359999998,35.09613494
MINI25,MINISTOP,서울특별시 동대문구,11230,127.05659809999999,37.59678698
금호미니편의점,MINISTOP,부산광역시 남구,26290,129.0807534,35.11896222
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.9076398,37.49288292
미니스톱,MINISTOP,서울특별시 동대문구,11230,127.07366770000002,37.57271110000001
미니스톱,MINISTOP,서울특별시 영등포구,11560,126.94156070000001,37.52282716
미니스톱신메리어트점,MINISTOP,서울특별시 서초구,11650,127.00782609999999,37.50448036
미니스톱여의도4호점,MINISTOP,서울특별시 영등포구,11560,126.92198400000001,37.53420146
미니스톱,MINISTOP,서울특별시 성동구,11200,127.04659469999999,37.55449264
미니스톱,MINISTOP,서울특별시 중구,11140,127.01176370000002,37.55495411
미니스톱,MINISTOP,서울특별시 관악구,11620,126.92989650000001,37.48641886
미니스톱,MINISTOP,부산광역시 사상구,26530,128.97173529999998,35.14274484
미니스톱,MINISTOP,서울특별시 동대문구,11230,127.0241076,37.57433915
미니스톱,MINISTOP,서울특별시 강남구,11680,127.028341,37.49851471
미니스톱상계점,MINISTOP,서울특별시 노원구,11350,127.07065300000001,37.66126867
미니스톱대림청림점,MINISTOP,서울특별시 영등포구,11560,126.89918859999999,37.50007591
미니스톱,MINISTOP,서울특별시 금천구,11545,126.8860976,37.47230008
미니스톱,MINISTOP,부산광역시 해운대구,26350,129.1759883,35.16853503
미니스톱마들역점,MINISTOP,서울특별시 노원구,11350,127.0569173,37.66654783
미니스톱,MINISTOP,서울특별시 강남구,11680,127.05373259999999,37.50462276
미니스톱,MINISTOP,서울특별시 종로구,11110,126.98662320000001,37.57944758
미니스톱,MINISTOP,서울특별시 양천구,11470,126.8637195,37.54277369
미니스톱종로효제점,MINISTOP,서울특별시 종로구,11110,127.00503290000002,37.57257606
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.0626471,35.16081181
미니스톱,MINISTOP,부산광역시 연제구,26470,129.0823167,35.18733678
미니스톱상암센트럴점,MINISTOP,서울특별시 마포구,11440,126.8908284,37.57739695
미니스톱,MINISTOP,서울특별시 강남구,11680,127.10184209999998,37.48801336
미니스톱,MINISTOP,서울특별시 송파구,11710,127.15491850000001,37.49427087
미니스톱,MINISTOP,서울특별시 강남구,11680,127.0622611,37.50819588
미니스톱,MINISTOP,서울특별시 금천구,11545,126.888376,37.46578893
미니스톱비즈메트로점,MINISTOP,서울특별시 강서구,11500,126.8609249,37.55910054
미니스톱,MINISTOP,서울특별시 성동구,11200,127.01940890000002,37.54847626
미니스톱,MINISTOP,부산광역시 남구,26290,129.0999279,35.13757476
미니스톱구로구청점,MINISTOP,서울특별시 구로구,11530,126.88764180000001,37.49396678
미니스톱,MINISTOP,서울특별시 강북구,11305,127.02037949999999,37.64541819
미니스톱,MINISTOP,부산광역시 사하구,26380,128.96363119999998,35.11248627
미니스톱,MINISTOP,부산광역시 연제구,26470,129.08505,35.18728528
미니스톱,MINISTOP,부산광역시 연제구,26470,129.07345049999998,35.19025506
미니스톱,MINISTOP,서울특별시 강남구,11680,127.05945039999999,37.50683997
미니스톱노원2점,MINISTOP,서울특별시 노원구,11350,127.0615365,37.65617774
미니스톱,MINISTOP,서울특별시 송파구,11710,127.104413,37.50566663
미니스톱,MINISTOP,서울특별시 강서구,11500,126.8466787,37.52948939
미니스톱,MINISTOP,서울특별시 종로구,11110,127.01254170000001,37.57232375
미니스톱,MINISTOP,서울특별시 성북구,11290,126.9994294,37.60977767
미니스톱송파회관,MINISTOP,서울특별시 송파구,11710,127.10922959999999,37.50581118
미니스톱,MINISTOP,서울특별시 성동구,11200,127.0507929,37.56524893
미니스톱,MINISTOP,서울특별시 금천구,11545,126.8842374,37.46966949
미니스톱,MINISTOP,서울특별시 관악구,11620,126.940603,37.48253271
미니스톱,MINISTOP,서울특별시 강남구,11680,127.05203059999998,37.50415858
미니스톱창동신한점,MINISTOP,서울특별시 도봉구,11320,127.0493216,37.65332277
미니스톱남산소월점,MINISTOP,서울특별시 용산구,11170,126.98508570000001,37.54590658
미니스톱,MINISTOP,서울특별시 강북구,11305,127.0234433,37.63643325
미니스톱,MINISTOP,부산광역시 수영구,26500,129.11087890000002,35.15856735
미니스톱,MINISTOP,서울특별시 용산구,11170,126.96872330000001,37.55485633
미니스톱,MINISTOP,서울특별시 중구,11140,126.9979847,37.56125341
미니스톱길동현대점,MINISTOP,서울특별시 강동구,11740,127.14699909999999,37.53629348
미니스톱,MINISTOP,부산광역시 수영구,26500,129.11760479999998,35.15278169
미니스톱,MINISTOP,서울특별시 강남구,11680,127.04148670000001,37.52206754
미니스톱사당점,MINISTOP,서울특별시 동작구,11590,126.98084490000001,37.47997629
미니스톱,MINISTOP,서울특별시 동작구,11590,126.9391804,37.50397393
미니스톱,MINISTOP,서울특별시 강남구,11680,127.03338719999999,37.48957258
미니스톱,MINISTOP,서울특별시 구로구,11530,126.89357779999999,37.48330007
미니스톱이태원제일점,MINISTOP,서울특별시 용산구,11170,126.9985223,37.53546104
미니스톱,MINISTOP,부산광역시 금정구,26410,129.1037262,35.21566326
미니스톱,MINISTOP,부산광역시 연제구,26470,129.0740557,35.19034884
미니스톱,MINISTOP,서울특별시 성북구,11290,127.0407014,37.61422912
미니스톱,MINISTOP,부산광역시 해운대구,26350,129.1743811,35.17279612
미니스톱,MINISTOP,부산광역시 수영구,26500,129.1104009,35.13873218
미니스톱,MINISTOP,서울특별시 강남구,11680,127.05399080000001,37.50567906
미니스톱,MINISTOP,서울특별시 강남구,11680,127.03006429999999,37.49469038
미니스톱,MINISTOP,서울특별시 관악구,11620,126.95016570000001,37.48031138
미니스톱,MINISTOP,서울특별시 서초구,11650,127.0004068,37.47816109
미니스톱,MINISTOP,서울특별시 서초구,11650,126.9822415,37.47704188
미니스톱,MINISTOP,서울특별시 광진구,11215,127.08971629999999,37.54140729
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.05460530000002,35.15685285
미니스톱,MINISTOP,서울특별시 강남구,11680,127.031901,37.51797066
미니스톱,MINISTOP,서울특별시 관악구,11620,126.914199,37.48505021
